,X,y
11,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/a31202172eaa14a258079619440394a7_5.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/a31202172eaa14a258079619440394a7_5.mask.png
12,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/b0daf1c4142d7b73cd76d39e7c36a7c2_2.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/b0daf1c4142d7b73cd76d39e7c36a7c2_2.mask.png
13,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/010543abfbd0db1e9aa1b24604336e0c_6.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/010543abfbd0db1e9aa1b24604336e0c_6.mask.png
14,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/1dd946025c2b0cde73f419a6d06fe74d_1.png,default.mask.png
15,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/49885ceb0d7868353754bcdc653fd85a_0.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/49885ceb0d7868353754bcdc653fd85a_0.mask.png
16,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/b185aab42bdb43b9f6baec60f9a5ba27_5.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/b185aab42bdb43b9f6baec60f9a5ba27_5.mask.png
17,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/2c9efd7686482f3fd1687c8bed7e1b79_0.png,default.mask.png
18,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/d6e8a819330b7e0ff527d3daa11601ed_3.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/d6e8a819330b7e0ff527d3daa11601ed_3.mask.png
19,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/55774d613ff0e35e640172a35fdd6c96_3.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/55774d613ff0e35e640172a35fdd6c96_3.mask.png
20,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/d87fb93838434f8a1d668c0ed1bd8824_2.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/d87fb93838434f8a1d668c0ed1bd8824_2.mask.png
21,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/b35d925d02a6792e66e475860372aaae_1.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/b35d925d02a6792e66e475860372aaae_1.mask.png
22,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/1ca94a834db5f4e2a463996220634bf4_0.png,default.mask.png
23,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/87327cd1756383fefd53a135523d1e5c_6.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/87327cd1756383fefd53a135523d1e5c_6.mask.png
24,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/1a59d6491c0b8a7f8107346ebec894c3_1.png,default.mask.png
25,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/a572d8a52f46accacc8eef19acb8759c_6.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/a572d8a52f46accacc8eef19acb8759c_6.mask.png
26,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/d9634e2f8c7644c545c03c60f76750ef_7.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/d9634e2f8c7644c545c03c60f76750ef_7.mask.png
27,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/689303d2322edb19c223bc2fbe409e08_0.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/689303d2322edb19c223bc2fbe409e08_0.mask.png
28,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/b9c5470e3233747c69d951707fc0caa1_1.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/b9c5470e3233747c69d951707fc0caa1_1.mask.png
29,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/4c10db55f29f713289bc4c52cc4e71f0_3.png,default.mask.png
30,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/1aa67f4b9d7d54a6e54ad8a0a5235298_3.png,default.mask.png
31,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/6f2424e7646f01057ac3b261961f1b56_0.png,default.mask.png
32,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/cfb77b3822d05b280d51e8259f0c2ff4_3.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/cfb77b3822d05b280d51e8259f0c2ff4_3.mask.png
33,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/5fc9673d86e8c0b4b7abf67526058599_0.png,default.mask.png
34,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/6a68286e27dacf32aeaf277854f493a6_1.png,default.mask.png
35,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/6e9c303ac8d8f18c632c59dd324eb8fd_0.png,default.mask.png
36,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/0ed7d3c51dfb1baf8c85d89e5b6f6dde_1.png,default.mask.png
37,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/b6f0f60d2dac8fd639a54eb6bdc2bdd5_0.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/b6f0f60d2dac8fd639a54eb6bdc2bdd5_0.mask.png
38,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/1aa000047472fe7f5bb5ebe6c4570836_3.png,default.mask.png
39,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/cc0c8e75290550c68a73f399760512a9_7.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/cc0c8e75290550c68a73f399760512a9_7.mask.png
40,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/5b4593eeb12b1665ba1123837c0a596e_1.png,default.mask.png
41,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/ed989064f7fbdd958ff3c242e4cdabeb_1.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/ed989064f7fbdd958ff3c242e4cdabeb_1.mask.png
42,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/0c6ac3ce5ed62c27b99394e652c52ae0_0.png,default.mask.png
43,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/5e843b489e194290ba8adee4bb2f1516_3.png,default.mask.png
44,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/aedafca3f65ecbbf54b3ec1ba4206b59_1.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/aedafca3f65ecbbf54b3ec1ba4206b59_1.mask.png
45,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/0bf69d1b9460a9ad974b9a7c57f31632_0.png,default.mask.png
46,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/c88f1d27e73aaec5556fcd439600879f_2.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/c88f1d27e73aaec5556fcd439600879f_2.mask.png
47,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/3a643c3a8cc8d66d83d4b3c3fcb8b18d_1.png,default.mask.png
48,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/aa2195acc0c17507e356e60955e30638_0.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/aa2195acc0c17507e356e60955e30638_0.mask.png
49,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/6fbecfdaecf314fc8417362440c1867c_3.png,default.mask.png
50,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/49885ceb0d7868353754bcdc653fd85a_7.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/49885ceb0d7868353754bcdc653fd85a_7.mask.png
51,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/2a6f39f5521e5f5a398fdf50bc1aa5ab_0.png,default.mask.png
52,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/6a640f97276f02ddca6fafef1d8125b5_0.png,default.mask.png
53,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/daa767cd9cc041a3b7a340528689adab_6.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/daa767cd9cc041a3b7a340528689adab_6.mask.png
54,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/1ffcceddbb7678d36c5c7afd0e7b803d_0.png,default.mask.png
55,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/bed7b44e6d413d740c97696f475ab858_2.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/bed7b44e6d413d740c97696f475ab858_2.mask.png
56,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/a190948fddf9545c431efaebddee915d_6.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/a190948fddf9545c431efaebddee915d_6.mask.png
57,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/3c3ae432d723de974973209381455711_1.png,default.mask.png
58,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/d83840fbd3cde13ca6b801a3800e3c2b_1.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/d83840fbd3cde13ca6b801a3800e3c2b_1.mask.png
59,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/5f1634091263ce8f51efa552856d6c99_1.png,default.mask.png
60,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/08829849d0b1c71e437961e841e0c81f_2.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/08829849d0b1c71e437961e841e0c81f_2.mask.png
61,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/2ee1940345456ab6d704428191515ff7_1.png,default.mask.png
62,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/a749a9c6c906f0f57b9c91d13439bd6b_2.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/a749a9c6c906f0f57b9c91d13439bd6b_2.mask.png
63,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/b300897bc8a566bb9e806d8132e25f5b_7.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/b300897bc8a566bb9e806d8132e25f5b_7.mask.png
64,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/86186107aac2418722572c5632f01ade_5.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/86186107aac2418722572c5632f01ade_5.mask.png
65,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/cc1234027ede8d9006ce01f0cd12b710_3.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/cc1234027ede8d9006ce01f0cd12b710_3.mask.png
66,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/b0e304ca50739b4bb48620960a4006b9_3.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/b0e304ca50739b4bb48620960a4006b9_3.mask.png
67,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/b1a7bc9873d1ac1a9bf66426002b3722_1.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/b1a7bc9873d1ac1a9bf66426002b3722_1.mask.png
68,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/6b5559315697d36ff30a772b77b1ef9c_0.png,default.mask.png
69,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/1ba3caa6582a0a77012c5ffdfa8f869a_3.png,default.mask.png
70,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/b6f0f60d2dac8fd639a54eb6bdc2bdd5_3.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/b6f0f60d2dac8fd639a54eb6bdc2bdd5_3.mask.png
71,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/3735407a7358488296a3d9968c01855d_7.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/3735407a7358488296a3d9968c01855d_7.mask.png
72,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/ac821291d07a9c317f2dbf5e424cb8cb_2.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/ac821291d07a9c317f2dbf5e424cb8cb_2.mask.png
73,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/bd162a474c3726de6e7b9790feb95a00_3.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/bd162a474c3726de6e7b9790feb95a00_3.mask.png
74,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/05e01acb088c8953c413624801bb39c0_3.png,default.mask.png
75,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/2f8b0583814f166db8837f735b3f0da2_1.png,default.mask.png
76,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/d6388ee9f63e1111d41ce66ddf06ff41_2.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/d6388ee9f63e1111d41ce66ddf06ff41_2.mask.png
77,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/6de456d091cb45b7ed5ba52b3dbba573_0.png,default.mask.png
78,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/6a26bca72eec83c3eb6290b471f76d72_0.png,default.mask.png
79,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/2564876058a684e6d899f3575081b16f_0.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/2564876058a684e6d899f3575081b16f_0.mask.png
80,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/cb5dece724ab947f6a615c7fe1f8c380_1.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/cb5dece724ab947f6a615c7fe1f8c380_1.mask.png
81,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/d507e807f025f09ea0cff40b52e9322c_0.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/d507e807f025f09ea0cff40b52e9322c_0.mask.png
82,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/ad71b41fd8257bfb9bf303008a92f68e_2.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/ad71b41fd8257bfb9bf303008a92f68e_2.mask.png
83,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/756a2f39b0b82013ee00b825d66ad0bc_7.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/756a2f39b0b82013ee00b825d66ad0bc_7.mask.png
84,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/ce03344d71dca420b3ea36e8e8c48219_7.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/ce03344d71dca420b3ea36e8e8c48219_7.mask.png
85,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/0ca4a6bf121ee206bf445358a7797ae5_0.png,default.mask.png
86,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/1f1cc7592feecf58b84a5eda4af592f0_1.png,default.mask.png
87,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/5de9a55bc239f2959ca1307d371c360c_0.png,default.mask.png
88,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/5f240654e333951c4f9be91ffcab56fc_3.png,default.mask.png
89,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/997003561434af248f5b8cc8fb697c70_2.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/997003561434af248f5b8cc8fb697c70_2.mask.png
90,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/4a8c2e0abef055ffc7f8d88c93c8ff65_1.png,default.mask.png
91,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/00e079b66d9e9f99892bbb81d9d6cd57_3.png,default.mask.png
92,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/d13e3749938f9bcd3945bed229d40bb7_5.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/d13e3749938f9bcd3945bed229d40bb7_5.mask.png
93,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/4c68929265e566038b02668c57c48940_1.png,default.mask.png
94,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/3c98ecaf63ca996a99ce5c4c64d13f4c_0.png,default.mask.png
95,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/ae5cbfd5a2566eb2ba2e27979c53ef9c_5.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/ae5cbfd5a2566eb2ba2e27979c53ef9c_5.mask.png
96,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/b73fef9b8686be108f9deec80e8ed880_7.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/b73fef9b8686be108f9deec80e8ed880_7.mask.png
97,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/4bd065922d9ab9b51cedd117c9d45694_1.png,default.mask.png
98,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/d64f0d1c4c3e893b1d0f3aa5b9967830_1.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/d64f0d1c4c3e893b1d0f3aa5b9967830_1.mask.png
99,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/c4a8492e6d60e15a32a52b5ebee00f65_0.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/c4a8492e6d60e15a32a52b5ebee00f65_0.mask.png
100,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/5fc9673d86e8c0b4b7abf67526058599_3.png,default.mask.png
101,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/ed989064f7fbdd958ff3c242e4cdabeb_6.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/ed989064f7fbdd958ff3c242e4cdabeb_6.mask.png
102,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/b59eb013150b52fdac02f8a50ff9ca47_2.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/b59eb013150b52fdac02f8a50ff9ca47_2.mask.png
103,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/4b0328c1c0c0a20cabd216e72f0e1002_3.png,default.mask.png
104,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/934741e32f2fc90678fee50aea8cc413_5.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/934741e32f2fc90678fee50aea8cc413_5.mask.png
105,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/b9c5470e3233747c69d951707fc0caa1_0.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/b9c5470e3233747c69d951707fc0caa1_0.mask.png
